,target,feed,feature,fw1,fw2,fw3,score
0,CHOR,807f153a-d0f6-11e7-b63b-001999f98771,r2,0.00372679411667054,0.004508971755336433,0.004575816393489973,-2.0871416689096924
1,CHOR,807f153a-d0f6-11e7-b63b-001999f98771,hum,0.1617934047337637,0.16668796172594824,0.15894408924901704,-5.208745002278147
2,CHOR,807f153a-d0f6-11e7-b63b-001999f98771,temp,0.5402365202234796,0.5696700064720783,0.6323813648034751,-3.945561570409014
3,RODE,807f153a-d0f6-11e7-b63b-001999f98771,r2,0.003917250138050832,0.004834157539347073,0.00623030719171358,-0.5764612170752688
4,RODE,807f153a-d0f6-11e7-b63b-001999f98771,hum,0.19640456147770902,0.2053908931205175,0.21972274118024337,-2.1797713994635814
5,RODE,807f153a-d0f6-11e7-b63b-001999f98771,temp,0.6985477228081773,0.6838504569052652,0.6751651839361301,-1.7179010565652422
6,VKCL,807f153a-d0f6-11e7-b63b-001999f98771,r2,0.007428230121028223,0.008900092452196695,0.009621803781583838,-0.23110471623528617
7,VKCL,807f153a-d0f6-11e7-b63b-001999f98771,hum,0.3465722797807853,0.3876519690522553,0.3481984551121151,-1.87747068469695
8,VKCL,807f153a-d0f6-11e7-b63b-001999f98771,temp,1.1844147943982577,1.351266863642401,1.29462515541519,-0.6613712022956062
9,VKTU,807f153a-d0f6-11e7-b63b-001999f98771,r2,0.006234031912505378,0.0069620147249663256,0.007573738697806975,-0.35630522417122146
10,VKTU,807f153a-d0f6-11e7-b63b-001999f98771,hum,0.2661605704078349,0.31345563584920555,0.29469502335162545,-2.1984110092826192
11,VKTU,807f153a-d0f6-11e7-b63b-001999f98771,temp,1.0299226361975649,1.1268786473827177,0.9067637308047054,-1.6101919321695672
12,CHOR,807f16fc-d0f6-11e7-b63b-001999f98771,r2,0.003387267067625155,0.009784752716426759,0.011918019202165286,-0.46695479030922904
13,CHOR,807f16fc-d0f6-11e7-b63b-001999f98771,hum,0.21121157834041782,0.13473768061399483,0.5851633541302448,-3.81526137061927
14,CHOR,807f16fc-d0f6-11e7-b63b-001999f98771,temp,0.5961059796168797,1.023086705662294,0.31178426321617536,-3.298285570227949
15,RODE,807f16fc-d0f6-11e7-b63b-001999f98771,r2,0.003822784387924827,0.009388488227706215,0.010906197001516738,-0.3197563413148008
16,RODE,807f16fc-d0f6-11e7-b63b-001999f98771,hum,0.3201778591850726,0.22066468266851302,0.38382090183102946,-2.3884874989847185
17,RODE,807f16fc-d0f6-11e7-b63b-001999f98771,temp,0.7402004597249281,1.0097373504698197,0.13405763993323205,-1.75111991933005
18,VKCL,807f16fc-d0f6-11e7-b63b-001999f98771,r2,-0.0016791598699903432,0.01583482983645368,0.026492660989093864,0.009830992204568512
19,VKCL,807f16fc-d0f6-11e7-b63b-001999f98771,hum,0.5171677632929388,0.609941635994872,0.4226122675955821,-2.3781189899036277
20,VKCL,807f16fc-d0f6-11e7-b63b-001999f98771,temp,1.2631418636900271,1.7935223696603657,0.3770820772512593,-0.504953759724333
21,VKTU,807f16fc-d0f6-11e7-b63b-001999f98771,r2,-0.0025788104301169845,0.015737566727453967,0.019934178147833492,-0.11231588509260382
22,VKTU,807f16fc-d0f6-11e7-b63b-001999f98771,hum,0.4650249736780978,0.21303250528309547,0.5931963452005107,-2.593829567385718
23,VKTU,807f16fc-d0f6-11e7-b63b-001999f98771,temp,1.3504968928757926,1.9007670338205571,-0.5037756774585773,-1.601091217306704
24,CHOR,807f2c96-d0f6-11e7-b63b-001999f98771,r2,0.007008607545762602,0.00443171715922408,0.00549532261022323,-1.9475128177717602
25,CHOR,807f2c96-d0f6-11e7-b63b-001999f98771,hum,0.29573517836852403,0.29503343696766393,0.28840384576645306,-2.3691236119201013
26,CHOR,807f2c96-d0f6-11e7-b63b-001999f98771,temp,0.7161581036448723,0.18390570656130478,0.4544358764615595,-1.952501222225529
27,RODE,807f2c96-d0f6-11e7-b63b-001999f98771,r2,0.00841613173968625,0.005098330852442379,0.0033594972244443966,-1.019262253094102
28,RODE,807f2c96-d0f6-11e7-b63b-001999f98771,hum,0.3922320854005221,0.26402543701185976,0.23560745528369864,-1.2039744973102096
29,RODE,807f2c96-d0f6-11e7-b63b-001999f98771,temp,0.8452774441872322,0.2714077563047965,0.22738155776372082,-1.0661181855506094
30,VKCL,807f2c96-d0f6-11e7-b63b-001999f98771,r2,0.011167452672851574,0.007587868888451421,0.010385374676591397,-0.5155820611728568
31,VKCL,807f2c96-d0f6-11e7-b63b-001999f98771,hum,0.49330684820688475,0.43554454461641967,0.6175591611802247,-0.6982052176343061
32,VKCL,807f2c96-d0f6-11e7-b63b-001999f98771,temp,1.1516082464595172,0.5128870045978715,0.6500470477184876,-0.5727342946549587
33,VKTU,807f2c96-d0f6-11e7-b63b-001999f98771,r2,0.006871562308490731,0.006581576192624006,0.01036544325416422,-0.776540780307114
34,VKTU,807f2c96-d0f6-11e7-b63b-001999f98771,hum,0.43198367392153614,0.30356159605554467,0.5249124190299881,-0.9757440631109082
35,VKTU,807f2c96-d0f6-11e7-b63b-001999f98771,temp,0.9373176614612646,0.4093496309043303,0.5431403122674965,-0.8230723611750264
36,CHOR,807f2e6c-d0f6-11e7-b63b-001999f98771,r2,-0.003263407216174463,0.007358459803231632,0.018849429891664604,-2.1184382245247337
37,CHOR,807f2e6c-d0f6-11e7-b63b-001999f98771,hum,-0.13988132529125608,0.3197723709904814,0.7747536510422321,-3.598051934924695
38,CHOR,807f2e6c-d0f6-11e7-b63b-001999f98771,temp,0.7098056724643484,0.7370708858272792,1.3828384878814575,-3.2937235699556187
39,RODE,807f2e6c-d0f6-11e7-b63b-001999f98771,r2,0.0051381534959416275,0.007889119603066319,0.007190442724549606,-0.543757208073613
40,RODE,807f2e6c-d0f6-11e7-b63b-001999f98771,hum,0.21117638071501332,0.3579850211922846,0.29346111635499383,-1.6570484184224252
41,RODE,807f2e6c-d0f6-11e7-b63b-001999f98771,temp,0.8791133092675771,0.7319606271479593,0.7772096135305588,-1.0325332141583345
42,VKCL,807f2e6c-d0f6-11e7-b63b-001999f98771,r2,0.006947080147680973,0.01033785775636853,0.016377875655881113,-0.5234942036240644
43,VKCL,807f2e6c-d0f6-11e7-b63b-001999f98771,hum,0.34277385775555835,0.44747959697505024,0.6310238290322516,-1.6918536723641098
44,VKCL,807f2e6c-d0f6-11e7-b63b-001999f98771,temp,0.8412026311852614,1.3605055157824353,2.0103730948889904,-0.3613358197096559
45,VKTU,807f2e6c-d0f6-11e7-b63b-001999f98771,r2,0.00748296906824214,0.010569822181318023,0.009985290539547664,-0.4514076975053256
46,VKTU,807f2e6c-d0f6-11e7-b63b-001999f98771,hum,0.3005708565548666,0.43524309439936815,0.4411057069984494,-1.736845879573274
47,VKTU,807f2e6c-d0f6-11e7-b63b-001999f98771,temp,1.0628751805840153,1.3024305198732264,1.1239817115937711,-0.8854060011658229
48,CHOR,807f3b50-d0f6-11e7-b63b-001999f98771,r2,0.007495161270089659,0.002635423822357902,0.014183679132288546,-2.287578392289274
49,CHOR,807f3b50-d0f6-11e7-b63b-001999f98771,hum,0.03624260257828936,0.1816809813670064,0.3388819017887643,-151.14344893779017
50,CHOR,807f3b50-d0f6-11e7-b63b-001999f98771,temp,0.01860727146072878,1.048546553215811,2.3052635967690946,-12296.3779951313
51,RODE,807f3b50-d0f6-11e7-b63b-001999f98771,r2,0.007354743660798364,0.004136683161736293,0.011787747317468511,-1.1316342943527165
52,RODE,807f3b50-d0f6-11e7-b63b-001999f98771,hum,0.026542129619204838,0.21210962124550825,0.31681926678323347,-98.00507135590964
