timestamp,no2,station
2019-02-05 05:00:00+00:00,47,VKTU
2019-02-05 05:00:00+00:00,75,VKCL
2019-02-05 05:00:00+00:00,30,RODE
2019-02-05 05:00:00+00:00,59,CHOR
2019-02-05 06:00:00+00:00,42,RODE
2019-02-05 06:00:00+00:00,66,CHOR
2019-02-05 06:00:00+00:00,63,VKTU
2019-02-05 06:00:00+00:00,79,VKCL
2019-02-05 07:00:00+00:00,66,VKTU
2019-02-05 07:00:00+00:00,89,VKCL
2019-02-05 07:00:00+00:00,59,RODE
2019-02-05 07:00:00+00:00,70,CHOR
2019-02-05 08:00:00+00:00,61,RODE
2019-02-05 08:00:00+00:00,68,CHOR
2019-02-05 08:00:00+00:00,65,VKTU
2019-02-05 08:00:00+00:00,87,VKCL
2019-02-05 09:00:00+00:00,63,VKTU
2019-02-05 09:00:00+00:00,69,VKCL
2019-02-05 09:00:00+00:00,58,RODE
2019-02-05 09:00:00+00:00,69,CHOR
2019-02-05 10:00:00+00:00,53,RODE
2019-02-05 10:00:00+00:00,68,CHOR
2019-02-05 10:00:00+00:00,61,VKTU
2019-02-05 10:00:00+00:00,68,VKCL
2019-02-05 11:00:00+00:00,61,VKTU
2019-02-05 11:00:00+00:00,68,VKCL
2019-02-05 11:00:00+00:00,51,RODE
2019-02-05 11:00:00+00:00,56,CHOR
2019-02-05 12:00:00+00:00,47,RODE
2019-02-05 12:00:00+00:00,60,CHOR
2019-02-05 12:00:00+00:00,58,VKTU
2019-02-05 12:00:00+00:00,66,VKCL
2019-02-05 13:00:00+00:00,58,VKTU
2019-02-05 13:00:00+00:00,70,VKCL
2019-02-05 13:00:00+00:00,46,RODE
2019-02-05 13:00:00+00:00,59,CHOR
2019-02-05 14:00:00+00:00,42,RODE
2019-02-05 14:00:00+00:00,59,CHOR
2019-02-05 14:00:00+00:00,88,VKCL
2019-02-05 15:00:00+00:00,61,CHOR
2019-02-05 15:00:00+00:00,75,VKCL
2019-02-05 15:00:00+00:00,44,RODE
2019-02-05 15:00:00+00:00,55,VKTU
2019-02-05 16:00:00+00:00,48,RODE
2019-02-05 16:00:00+00:00,57,VKTU
2019-02-05 16:00:00+00:00,62,CHOR
2019-02-05 16:00:00+00:00,76,VKCL
2019-02-05 17:00:00+00:00,63,CHOR
2019-02-05 17:00:00+00:00,65,VKCL
2019-02-05 17:00:00+00:00,60,RODE
2019-02-05 17:00:00+00:00,61,VKTU
2019-02-05 18:00:00+00:00,57,RODE
2019-02-05 18:00:00+00:00,59,VKTU
2019-02-05 18:00:00+00:00,59,CHOR
2019-02-05 18:00:00+00:00,59,VKCL
2019-02-05 19:00:00+00:00,56,CHOR
2019-02-05 19:00:00+00:00,59,VKCL
2019-02-05 19:00:00+00:00,54,RODE
2019-02-05 19:00:00+00:00,56,VKTU
2019-02-05 20:00:00+00:00,54,RODE
2019-02-05 20:00:00+00:00,57,VKTU
2019-02-05 20:00:00+00:00,56,CHOR
2019-02-05 20:00:00+00:00,60,VKCL
2019-02-05 21:00:00+00:00,55,CHOR
2019-02-05 21:00:00+00:00,56,VKCL
2019-02-05 21:00:00+00:00,54,RODE
2019-02-05 21:00:00+00:00,56,VKTU
2019-02-06 00:00:00+00:00,39,VKTU
2019-02-06 00:00:00+00:00,49,CHOR
2019-02-06 00:00:00+00:00,48,VKCL
2019-02-06 02:00:00+00:00,31,RODE
2019-02-06 03:00:00+00:00,37,CHOR
2019-02-06 03:00:00+00:00,31,RODE
2019-02-06 03:00:00+00:00,39,VKCL
2019-02-06 03:00:00+00:00,34,VKTU
2019-02-06 04:00:00+00:00,50,VKCL
2019-02-06 04:00:00+00:00,39,VKTU
2019-02-06 04:00:00+00:00,37,CHOR
2019-02-06 04:00:00+00:00,33,RODE
2019-02-06 05:00:00+00:00,42,CHOR
2019-02-06 05:00:00+00:00,42,RODE
2019-02-06 05:00:00+00:00,63,VKCL
2019-02-06 05:00:00+00:00,44,VKTU
2019-02-06 06:00:00+00:00,74,VKCL
2019-02-06 06:00:00+00:00,50,VKTU
2019-02-06 06:00:00+00:00,55,CHOR
2019-02-06 06:00:00+00:00,50,RODE
2019-02-06 07:00:00+00:00,56,CHOR
2019-02-06 07:00:00+00:00,51,RODE
